Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-1,1,3,3,3,0.00,0.000%,333.33333,101.56,41.99,312.0
Op-2-GetAnimations-1,1,2710,2710,2710,0.00,0.000%,.36900,0.11,0.06,296.0
Op-3-GetItems-1,1,2695,2695,2695,0.00,0.000%,.37106,0.47,0.06,1298.0
Op-4-HideElement-1,1,2687,2687,2687,0.00,0.000%,.37216,0.11,0.15,292.0
Op-5-ShowElement-1,1,2663,2663,2663,0.00,0.000%,.37552,0.11,0.14,292.0
Op-6-ChangeTextureColor-1,1,2667,2667,2667,0.00,0.000%,.37495,0.11,0.14,292.0
Op-7-ChangeTextureMaterial-1,1,2710,2710,2710,0.00,0.000%,.36900,0.11,0.14,292.0
Op-8-GenerateAvatar-1,1,2742,2742,2742,0.00,0.000%,.36470,0.10,0.13,292.0
Workflow-User-1,1,18877,18877,18877,0.00,0.000%,.05297,0.17,0.12,3366.0
TOTAL,9,4194,3,18877,5258.45,0.000%,.47677,0.35,0.25,748.0
