Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-1-GetModels-1,1,12,12,12,12,12,12,12,0.000%,83.33333,25.31,10.25
Op-1-GetModels-2,1,9,9,9,9,9,9,9,0.000%,111.11111,33.75,13.67
Op-1-GetModels-3,1,3,3,3,3,3,3,3,0.000%,333.33333,101.24,41.02
Op-2-GetAnimations-2,1,5046,5046,5046,5046,5046,5046,5046,0.000%,.19818,0.05,0.03
Op-2-GetAnimations-1,1,5378,5378,5378,5378,5378,5378,5378,0.000%,.18594,0.05,0.03
Op-2-GetAnimations-3,1,5994,5994,5994,5994,5994,5994,5994,0.000%,.16683,0.04,0.02
Op-3-GetItems-2,1,4781,4781,4781,4781,4781,4781,4781,0.000%,.20916,0.26,0.03
Op-3-GetItems-1,1,5588,5588,5588,5588,5588,5588,5588,0.000%,.17895,0.22,0.03
Op-4-HideElement-2,1,5393,5393,5393,5393,5393,5393,5393,0.000%,.18543,0.04,0.07
Op-3-GetItems-3,1,9659,9659,9659,9659,9659,9659,9659,0.000%,.10353,0.13,0.02
Op-4-HideElement-1,1,7445,7445,7445,7445,7445,7445,7445,0.000%,.13432,0.03,0.05
Op-5-ShowElement-2,1,5984,5984,5984,5984,5984,5984,5984,0.000%,.16711,0.04,0.05
Op-4-HideElement-3,1,7235,7235,7235,7235,7235,7235,7235,0.000%,.13822,0.03,0.05
Op-5-ShowElement-1,1,5639,5639,5639,5639,5639,5639,5639,0.000%,.17734,0.04,0.06
Op-6-ChangeTextureColor-2,1,5123,5123,5123,5123,5123,5123,5123,0.000%,.19520,0.05,0.07
Op-5-ShowElement-3,1,5572,5572,5572,5572,5572,5572,5572,0.000%,.17947,0.04,0.06
Op-6-ChangeTextureColor-1,1,6238,6238,6238,6238,6238,6238,6238,0.000%,.16031,0.04,0.05
Op-7-ChangeTextureMaterial-2,1,6438,6438,6438,6438,6438,6438,6438,0.000%,.15533,0.04,0.05
Op-6-ChangeTextureColor-3,1,6230,6230,6230,6230,6230,6230,6230,0.000%,.16051,0.04,0.05
Op-7-ChangeTextureMaterial-1,1,5261,5261,5261,5261,5261,5261,5261,0.000%,.19008,0.05,0.07
Op-8-GenerateAvatar-2,1,4890,4890,4890,4890,4890,4890,4890,0.000%,.20450,0.05,0.06
Workflow-User-2,1,37664,37664,37664,37664,37664,37664,37664,0.000%,.02655,0.08,0.06
Op-8-GenerateAvatar-1,1,5321,5321,5321,5321,5321,5321,5321,0.000%,.18793,0.05,0.06
Workflow-User-1,1,40882,40882,40882,40882,40882,40882,40882,0.000%,.02446,0.07,0.05
Op-7-ChangeTextureMaterial-3,1,6011,6011,6011,6011,6011,6011,6011,0.000%,.16636,0.04,0.06
Op-8-GenerateAvatar-3,1,8508,8508,8508,8508,8508,8508,8508,0.000%,.11754,0.03,0.04
Workflow-User-3,1,49212,49212,49212,49212,49212,49212,49212,0.000%,.02032,0.06,0.04
TOTAL,27,9463,5639,9659,40882,49212,3,49212,0.000%,.54133,0.36,0.25
